timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-09-27,2490.0000,2512.2000,2473.7500,2495.0000,2482.3406,1005178,0.0000,1.0000
2017-09-26,2510.0000,2526.3999,2466.0000,2474.6499,2462.0940,724615,0.0000,1.0000
2017-09-25,2496.5500,2534.0000,2492.7500,2510.7500,2498.0107,799779,0.0000,1.0000
2017-09-22,2519.8999,2526.8999,2492.0000,2503.6001,2490.8972,1217698,0.0000,1.0000
2017-09-21,2491.0500,2541.0000,2480.0000,2524.8999,2512.0889,1219370,0.0000,1.0000
2017-09-20,2514.0000,2514.0000,2474.3000,2493.5500,2480.8979,667321,0.0000,1.0000
2017-09-19,2505.0000,2505.0000,2491.5000,2498.2500,2485.5742,391377,0.0000,1.0000
2017-09-18,2504.9500,2518.9500,2489.2500,2499.0500,2486.3701,363300,0.0000,1.0000
2017-09-15,2499.0000,2517.0000,2485.0000,2506.0500,2493.3347,1472036,0.0000,1.0000
2017-09-14,2482.0000,2497.6001,2471.8999,2486.9500,2474.3315,540755,0.0000,1.0000
2017-09-13,2500.0000,2531.6499,2475.2000,2489.2000,2476.5701,639490,0.0000,1.0000
2017-09-12,2473.8999,2497.0000,2457.0000,2488.4500,2475.8240,698230,0.0000,1.0000
2017-09-11,2471.2000,2482.9500,2450.0000,2454.4500,2441.9963,366382,0.0000,1.0000
2017-09-08,2453.7500,2474.0000,2452.5500,2470.6001,2458.0647,510567,0.0000,1.0000
2017-09-07,2458.0000,2468.3999,2451.0500,2460.1001,2447.6177,435318,0.0000,1.0000
2017-09-06,2468.1499,2474.8501,2450.0000,2453.2000,2440.7527,614382,0.0000,1.0000
2017-09-05,2460.0000,2490.0000,2437.0500,2484.3501,2471.7449,582997,0.0000,1.0000
2017-09-04,2453.1001,2461.0000,2438.0000,2456.2000,2443.7375,531272,0.0000,1.0000
2017-09-01,2480.0000,2498.0500,2436.5500,2456.4500,2443.9863,851165,0.0000,1.0000
2017-08-31,2485.0000,2504.3999,2466.6499,2496.3501,2483.6838,892332,0.0000,1.0000
2017-08-30,2481.0000,2490.0000,2460.1001,2484.5500,2471.9438,485391,0.0000,1.0000
2017-08-29,2482.0000,2496.0000,2463.9500,2470.8501,2458.3135,656301,0.0000,1.0000
2017-08-28,2504.6001,2505.3999,2461.0000,2487.3000,2474.6799,1018398,0.0000,1.0000
2017-08-24,2497.7000,2517.9500,2486.1499,2496.6001,2483.9329,811954,0.0000,1.0000
2017-08-23,2505.0000,2516.8000,2473.1499,2489.4500,2476.8188,781136,0.0000,1.0000
2017-08-22,2523.0000,2539.5000,2492.0000,2497.5500,2484.8779,565663,0.0000,1.0000
2017-08-21,2505.5000,2549.0000,2494.3000,2528.8000,2515.9692,1152417,0.0000,1.0000
2017-08-18,2474.0000,2549.8999,2471.3999,2513.8000,2501.0454,1418678,0.0000,1.0000
2017-08-17,2500.7000,2505.0000,2462.1001,2485.6499,2473.0381,876187,0.0000,1.0000
2017-08-16,2484.0000,2543.8000,2465.2000,2492.3501,2479.7043,686670,0.0000,1.0000
2017-08-14,2503.0000,2509.8999,2463.0000,2469.3999,2456.8706,393252,0.0000,1.0000
